,,,,,,,,,,,,,,,
Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Plastic Bags,Wrappers,Sports Balls,Homes Powered*,,
1,May ,2014,5/16/2014,4.31,18,"1,450","1,820","126,000",72,584,"1,162",7,0,,
2,May ,2014,5/16/2014,2.74,13,"1,120","1,030","91,000",42,496,874,5,0,,
3,May,2014,5/16/2014,3.45,15,"2,450","3,100","105,000",50,"1,080","2,032",6,0,,
4,May,2014,5/17/2014,3.10,15,"2,380","2,730","100,000",52,896,"1,971",6,0,,
5,May,2014,5/17/2014,4.06,18,980,870,"120,000",72,368,753,7,0,,
6,May,2014,5/20/2014,2.71,13,"1,430","2,140","90,000",46,672,"1,144",5,0,,
7,May,2014,5/21/2014,1.91,8,910,"1,090","56,000",32,416,692,3,0,,
8,May,2014,5/28/2014,3.70,16,"3,580","4,310","112,000",58,"1,552","3,015",6,0,,
9,June,2014,6/5/2014,2.52,14,"2,400","2,790","98,000",49,984,"1,988",6,0,,
10,June,2014,6/11/2014,3.76,18,"1,340","1,730","130,000",75,448,"1,066",7,0,,
11,June,2014,6/11/2014,3.43,15,740,869,"110,000",38,344,544,6,0,,
12,June,2014,6/12/2014,4.17,19,950,"1,140","133,000",45,520,727,8,0,,
13,June,2014,6/13/2014,5.13,15,530,630,"104,000",58,224,361,6,0,,
14,June,2014,6/13/2014,4.17,15,840,760,"100,000",62,344,631,6,0,,
15,June,2014,6/19/2014,3.28,15,"1,130","1,350","102,000",64,432,883,6,0,,
16,June,2014,6/19/2014,3.05,15,"1,640","2,130","106,000",56,752,"1,327",6,0,,
17,June,2014,6/28/2014,2.49,13,"1,350","1,620","89,000",47,696,"1,075",5,0,,
18,July,2014,7/3/2014,2.54,15,"1,640","1,960","108,000",65,744,"1,327",6,0,,
19,July,2014,7/7/2014,2.41,15,"1,730","2,100","107,000",63,896,"1,405",6,0,,
20,July,2014,7/11/2014,3.83,18,"5,960","6,540","132,000",79,"2,560","5,085",7,0,, 
21,July,2014,7/14/2014,2.73,15,"2,170","2,620","112,000",32,"1,144","1,788",6,0,,
22,July,2014,7/15/2014,4.40,16,"1,930","2,210","115,000",53,688,"1,579",6,0,,
23,July,2014,7/15/2014,2.79,14,"3,200","3,840","98,000",25,"1,464","2,684",6,0,,
24,July,2014,7/25/2014,2.50,13,"2,500","3,040","85,000",18,"1,248","2,075",5,0,,
25,August,2014,8/4/2014,4.39,16,"2,140","2,050","118,000",68,904,"1,762",6,0,,
26,August,2014,8/4/2014,5.33,17,"1,630","1,950","123,000",75,512,"1,318",7,0,,
27,August,2014,8/13/2014,3.58,20,"3,640","4,360","141,000",82,"1,560","3,067",8,0,,
28,August,2014,8/13/2014,3.10,17,"1,430","1,870","121,000",63,552,"1,144",7,0,,
29,August,2014,8/19/2014,1.77,10,570,780,"32,000",21,310,"1,440",4,0,,
30,September,2014,9/3/2014,3.76,18,"4,800","3,640","310,000",110,"1,880","2,200",7,0,,
31,September,2014,9/24/2014,1.24,8,550,860,"18,000",11,420,"1,040",3,0,,
32,September,2014,9/26/2014,3.14,15,"2,240","2,880","112,000",42,"1,200","1,860",6,0,,
33,October,2014,10/3/2014,2.71,16,"4,220","4,840","84,000",38,"1,400","2,140",6,0,,
34,October,2014,10/9/2014,2.11,14,"1,400","1,650","80,000",18,"1,450","2,030",6,0,,
35,October,2014,10/20/2014,4.09,18,"2,820","3,010","78,000",7,990,"1,450",7,0,,
36,October,2014,10/20/2014,2.31,14,"1,900","2,240","81,000",22,840,"1,260",6,0,,
37,October,2014,10/24/2014,3.50,15,"3,650","3,880","94,000",51,"1,210","1,840",6,0,,
38,November,2014,11/06/14,2.70,15,760,"1,680","22,000",18,960,"1,720",6,0,,
39,November,2014,11/17/14,3.25,18,"1,250","2,730","46,000",28,"1,130","2,340",7,0,,
40,November,2014,11/20/14,3.84,15,880,"1,840","35,000",14,730,"1,760",6,0,,
41,November,2014,11/28/14,2.88,15,"1,800","3,970","52,000",32,560,"1,850",6,0,,
42,December,2014,12/1/2014,1.81,17,"1,370","3,140","38,000",28,950,"1,620",7,0,,
43,December,2014,12/17/2014,3.48,15,550,"1,450","22,000",34,740,"1,280",6,0,,
44,December,2014,12/30/2014,3.18,15,640,"1,670","26,000",42,880,"1,540",6,0,,
45,January,2015,1/12/2015,2.87,17,"1,160","2,250","31,000",60,"1,120","2,450",7,0,,
46,January,2015,1/23/2015,2.00,14,"1,570","2,400","33,000",37,380,910,6,0,,
47,January,2015,1/26/2015,2.14,13,"1,340","2,650","28,000",46,430,"1,170",5,0,,
48,February,2015,2/4/2015,2.54,15,"1,740","2,250","22,000",38,320,980,3,42,,
49,March,2015,3/9/2015,3.82,18,"2,870","3,240","25,000",26,540,860,8,64,,
50,March,2015,3/13/2015,1.83,15,"3,120","5,430","32,000",54,650,"1,120",16,31,,
51,March,2015,3/27/2015,2.02,15,"2,780","4,980","26,000",47,470,960,14,34,,
52,April,2015,4/8/2015,2.50,18,"2,240","2,360","27,000",46,270,840,13,42,,
53,April,2015,4/10/2015,3.41,15,"2,550","3,420","32,000",32,320,"1,260",16,57,,
54,April,2015,4/19/2015,1.83,11,"1,470","1,840","18,000",22,240,680,8,31,,
55,April,2015,4/20/2015,3.84,18,"1,240","1,630","23,000",18,430,760,5,64,,
56,April,2015,4/20/2015,3.22,15,"1,150","1,420","19,000",16,370,590,8,54,,
57,April,2015,4/20/2015,3.03,15,"2,850","3,160","18,000",15,350,610,11,0,,
58,April,2015,4/20/2015,2.64,18,960,"1,280","22,000",22,450,820,7,0,,
59,April,2015,4/20/2015,3.54,15,870,"1,140","18,000",17,330,620,6,59,,
60,May ,2015,5/15/2015,1.95,9,"1,340","2,150","22,000",16,190,530,8,33,,
61,May ,2015,5/17/2015,4.25,18,"2,630","3,480","38,000",36,"1,240","1,760",22,71,,
62,May,2015,5/17/2015,5.62,15,"1,850","3,270","54,000",44,970,"1,320",28,94,,
63,May,2015,5/18/2015,3.81,15,"2,830","3,780","48,000",28,650,"1,130",19,64,,
64,May,2015,5/19/2015,3.45,18,"1,740","2,630","32,000",16,820,"1,250",32,58,,
65,May,2015,5/19/2015,3.34,15,"2,780","3,250","37,000",32,"1,140","1,960",24,56,,
66,June,2015,6/1/2015,2.54,15,"1,260","1,830","56,000",56,"1,230","2,140",26,42,,
67,June,2015,6/9/2015,4.66,18,"2,340","3,460","48,000",42,"1,620","1,840",36,78,,
68,June,2015,6/9/2015,3.39,15,"3,240","4,360","33,000",23,"1,430","1,760",24,57,,
69,June,2015,6/9/2015,3.17,15,940,"1,220","35,000",18,840,960,9,53,,
70,June,2015,6/9/2015,3.15,18,830,"1,150","37,000",26,920,"1,050",16,53,,
71,June,2015,6/9/2015,3.83,15,960,"1,190","33,000",22,730,940,22,0,,
72,June,2015,6/10/2015,4.78,15,870,"1,040","32,000",24,820,960,17,80,,
73,June,2015,6/10/2015,3.85,18,920,"1,290","34,000",26,930,"1,020",13,0,,
74,June,2015,6/10/2015,4.48,15,"1,130","1,370","38,000",29,"1,270","1,450",14,0,,
75,June,2015,6/10/2015,4.18,15,"1,060","1,250","37,000",27,"1,340","1,420",21,0,,
76,June,2015,6/10/2015,3.38,18,740,930,"34,000",19,"1,130","1,340",15,0,,
77,June,2015,6/10/2015,3.83,15,950,"1,220","35,000",21,"1,370","1,430",13,0,,
78,June,2015,6/12/2015,3.95,15,"2,340","3,250","65,000",45,"2,730","3,340",18,0,,
