discipline_title,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,game_location,game_name,game_season,game_year
Curling,Women,Women,GOLD,GameTeam,Great Britain,,,Great Britain,GB,GBR,China,Beijing 2022,Winter,2022
Curling,Women,Women,SILVER,GameTeam,Japan,,,Japan,JP,JPN,China,Beijing 2022,Winter,2022
Curling,Women,Women,BRONZE,GameTeam,Sweden,,,Sweden,SE,SWE,China,Beijing 2022,Winter,2022
Curling,Men,Men,GOLD,GameTeam,Sweden,,,Sweden,SE,SWE,China,Beijing 2022,Winter,2022
Curling,Men,Men,SILVER,GameTeam,Great Britain,,,Great Britain,GB,GBR,China,Beijing 2022,Winter,2022
Curling,Men,Men,BRONZE,GameTeam,Canada,,,Canada,CA,CAN,China,Beijing 2022,Winter,2022
Freestyle Skiing,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,,,USA,US,USA,China,Beijing 2022,Winter,2022
Freestyle Skiing,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,,,China,CN,CHN,China,Beijing 2022,Winter,2022
Freestyle Skiing,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,,,Canada,CA,CAN,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Men's 5000m Relay,Men,GOLD,GameTeam,Canada,,,Canada,CA,CAN,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Men's 5000m Relay,Men,SILVER,GameTeam,Republic of Korea,,,South Korea,KR,KOR,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Men's 5000m Relay,Men,BRONZE,GameTeam,Italy,,,Italy,IT,ITA,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Team Relay,Mixed,GOLD,GameTeam,People's Republic of China,,,China,CN,CHN,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Team Relay,Mixed,SILVER,GameTeam,Italy,,,Italy,IT,ITA,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Team Relay,Mixed,BRONZE,GameTeam,Hungary,,,Hungary,HU,HUN,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Women's 3000m Relay,Women,GOLD,GameTeam,Netherlands,,,Netherlands,NL,NED,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Women's 3000m Relay,Women,SILVER,GameTeam,Republic of Korea,,,South Korea,KR,KOR,China,Beijing 2022,Winter,2022
Short Track Speed Skating,Women's 3000m Relay,Women,BRONZE,GameTeam,People's Republic of China,,,China,CN,CHN,China,Beijing 2022,Winter,2022
Ski Jumping,Men's Team,Men,GOLD,GameTeam,Austria,,,Austria,AT,AUT,China,Beijing 2022,Winter,2022
Ski Jumping,Men's Team,Men,SILVER,GameTeam,Slovenia,,,Slovenia,SI,SLO,China,Beijing 2022,Winter,2022
