id,title,track,status,keywords,author,rating,confidence,correctness,technical_novelty,empirical_novelty,presentation,rating_avg,confidence_avg,correctness_avg,technical_novelty_avg,empirical_novelty_avg,presentation_avg,corr_rating_confidence,corr_rating_correctness,site,proceeding,pdf,openreview,poster,slides,video,title_site
009LK0vLcY,Finite Population Regression Adjustment and Non-asymptotic Guarantees for Treatment Effect Estimation,main,Poster,regression adjustment; treatment effect estimation; average treatment effect,"Mehrdad Ghadiri, David Arbour, Tung Mai, Cameron Musco, Anup B. Rao",4;4;5;7,3;3;3;5,2;3;2;3,3;2;2;3,,1;2;2;3,5.0,3.5,2.5,2.5,0,2.0,0.9428090415820632,0.40824829046386296,https://nips.cc/virtual/2023/poster/73081,https://proceedings.neurips.cc/paper_files/paper/2023/hash/eaf5d2cdb582c058a078d4fdf52a20f9-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/eaf5d2cdb582c058a078d4fdf52a20f9-Paper-Conference.pdf,https://openreview.net/forum?id=009LK0vLcY,,https://nips.cc/virtual/2023/poster/73081,https://nips.cc/virtual/2023/poster/73081,
00EKYYu3fD,Complexity Matters: Rethinking the Latent Space for Generative Modeling,main,Spotlight,generative model;latent space;distance between distributions;generative adversarial network;vqgan,"Tianyang Hu, Fei Chen, Haonan Wang, Jiawei Li, Wenjia Wang, Jiacheng Sun, Zhenguo Li",6;6;7;7,3;4;3;4,3;3;3;3,2;3;4;2,,3;3;3;2,6.5,3.5,3.0,2.75,0,2.75,0.0,0.0,https://nips.cc/virtual/2023/poster/73080,https://proceedings.neurips.cc/paper_files/paper/2023/hash/5e8023f07625374c6fdf3aa08bb38e0e-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/5e8023f07625374c6fdf3aa08bb38e0e-Paper-Conference.pdf,https://openreview.net/forum?id=00EKYYu3fD,/media/PosterPDFs/NeurIPS%202023/73080.png?t=1702110456.1567054,https://nips.cc/virtual/2023/poster/73080,https://nips.cc/virtual/2023/poster/73080,
01GQK1gwe3,Can Neural Networks Improve Classical Optimization of Inverse Problems?,main,Reject,Inverse problems;neural networks;iterative optimization;chaos;convergence,,4;5;6;7,2;2;3;3,2;3;3;3,2;3;3;3,,3;3;4;3,5.5,2.5,2.75,2.75,0,3.25,0.8944271909999159,0.7745966692414834,,,,,,,,
02Uc0G2Cym,Robustness Guarantees for Adversarially Trained Neural Networks,main,Poster,Adversarial training;neural networks;robustness;guarantees,"Poorya Mianjy, Raman Arora",6;6;6;7,4;4;4;3,3;3;2;3,3;3;3;3,,3;3;3;3,6.25,3.75,2.75,3.0,0,3.0,-1.0,0.3333333333333333,https://nips.cc/virtual/2023/poster/73079,https://proceedings.neurips.cc/paper_files/paper/2023/hash/7cde9bd7774c9f5056cb6e5474fbadff-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/7cde9bd7774c9f5056cb6e5474fbadff-Paper-Conference.pdf,https://openreview.net/forum?id=02Uc0G2Cym,,https://nips.cc/virtual/2023/poster/73079,https://nips.cc/virtual/2023/poster/73079,
05P1U0jk8r,Exploiting hidden structures in non-convex games for convergence to Nash equilibrium,main,Poster,Nash Equilibrium;Games;Gradient;Non-monotone VI;Natural Gradient;Precondition,"Iosif Sakos, Emmanouil-Vasileios Vlatakis-Gkaragkounis, Panayotis Mertikopoulos, Georgios Piliouras",5;5;6;7;7,3;4;2;3;4,3;2;3;3;3,4;3;3;4;4,,2;1;2;3;3,6.0,3.2,2.8,3.6,0,2.2,0.0,0.5590169943749476,https://nips.cc/virtual/2023/poster/73078,https://proceedings.neurips.cc/paper_files/paper/2023/hash/d37c9ad425fe5b65304d500c6edcba00-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/d37c9ad425fe5b65304d500c6edcba00-Paper-Conference.pdf,https://openreview.net/forum?id=05P1U0jk8r,/media/PosterPDFs/NeurIPS%202023/73078.png?t=1702393886.6532638,https://nips.cc/virtual/2023/poster/73078,https://nips.cc/virtual/2023/poster/73078,
08hStXdT1s,Knowledge Diffusion for Distillation,main,Poster,knowledge distillation;diffusion models,"Tao Huang, Yuan Zhang, Mingkai Zheng, Shan You, Fei Wang, Chen Qian, Chang Xu",5;5;5;6;6;7,4;4;4;4;3;4,2;3;3;4;2;3,2;3;3;3;2;3,,3;3;3;3;3;3,5.666666666666667,3.8333333333333335,2.8333333333333335,2.6666666666666665,0,3.0,-0.20000000000000004,0.21693045781865622,https://nips.cc/virtual/2023/poster/73077,https://proceedings.neurips.cc/paper_files/paper/2023/hash/cdddf13f06182063c4dbde8cbd5a5c21-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/cdddf13f06182063c4dbde8cbd5a5c21-Paper-Conference.pdf,https://openreview.net/forum?id=08hStXdT1s,/media/PosterPDFs/NeurIPS%202023/73077.png?t=1701147484.4867098,https://nips.cc/virtual/2023/poster/73077,https://nips.cc/virtual/2023/poster/73077,
08zf7kTOoh,Exposing flaws of generative model evaluation metrics and their unfair treatment of diffusion models,main,Poster,generative models;generative model evaluation;self-supervised learning;representation learning;metrics,"George Stein, Jesse Cresswell, Rasa Hosseinzadeh, Yi Sui, Brendan Ross, Valentin Villecroze, Zhaoyan Liu, Anthony Caterini, Eric Taylor, Gabriel Loaiza-Ganem",4;6;7;7;7,4;4;2;5;4,2;3;3;4;3,3;3;3;3;3,,3;3;3;3;3,6.2,3.8,3.0,3.0,0,3.0,-0.14002800840280094,0.8134892168199606,https://nips.cc/virtual/2023/poster/73076,https://proceedings.neurips.cc/paper_files/paper/2023/hash/0bc795afae289ed465a65a3b4b1f4eb7-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/0bc795afae289ed465a65a3b4b1f4eb7-Paper-Conference.pdf,https://openreview.net/forum?id=08zf7kTOoh,/media/PosterPDFs/NeurIPS%202023/73076.png?t=1701990842.3741822,https://nips.cc/virtual/2023/poster/73076,https://nips.cc/virtual/2023/poster/73076,
090ORrOAPL,On the Powerfulness of Textual Outlier Exposure for Visual OoD Detection,main,Poster,Out-of-distribution detection,"Sangha Park, Jisoo Mok, Dahuin Jung, Saehyung Lee, Sungroh Yoon",5;6;6;7,4;5;4;3,3;3;3;3,2;3;3;3,,3;2;3;4,6.0,4.0,3.0,2.75,0,3.0,-0.5,0.0,https://nips.cc/virtual/2023/poster/73075,https://proceedings.neurips.cc/paper_files/paper/2023/hash/a2374637af47ac9471b43c99b68acf27-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/a2374637af47ac9471b43c99b68acf27-Paper-Conference.pdf,https://openreview.net/forum?id=090ORrOAPL,/media/PosterPDFs/NeurIPS%202023/73075.png?t=1701062751.973874,https://nips.cc/virtual/2023/poster/73075,https://nips.cc/virtual/2023/poster/73075,
09bZyE9tfp,Online Ad Procurement in Non-stationary Autobidding Worlds,main,Poster,autobidding;online advertising;bandit online convex optimization;constrained optimization,"Jason Cheuk Nam Liang, Haihao Lu, Baoyu Zhou",6;6;7;7,3;3;4;4,3;3;2;4,3;3;3;3,,2;3;3;4,6.5,3.5,3.0,3.0,0,3.0,1.0,0.0,https://nips.cc/virtual/2023/poster/73074,https://proceedings.neurips.cc/paper_files/paper/2023/hash/84bad835faaf48f24d990072bb5b80ee-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/84bad835faaf48f24d990072bb5b80ee-Paper-Conference.pdf,https://openreview.net/forum?id=09bZyE9tfp,,https://nips.cc/virtual/2023/poster/73074,https://nips.cc/virtual/2023/poster/73074,
0A9f2jZDGW,Task Arithmetic in the Tangent Space: Improved Editing of Pre-Trained Models,main,Oral,model editing;transfer learning;neural tangent kernel;vision-language pre-training;deep learning science,"Guillermo Ortiz-Jimenez, Alessandro Favero, Pascal Frossard",6;8;8;9;10,3;4;4;4;4,3;4;4;4;4,3;4;4;4;3,,3;3;4;4;4,8.2,3.8,3.8,3.6,0,3.6,0.8291561975888501,0.8291561975888501,https://nips.cc/virtual/2023/poster/73073,https://proceedings.neurips.cc/paper_files/paper/2023/hash/d28077e5ff52034cd35b4aa15320caea-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/d28077e5ff52034cd35b4aa15320caea-Paper-Conference.pdf,https://openreview.net/forum?id=0A9f2jZDGW,,https://nips.cc/virtual/2023/poster/73073,https://nips.cc/virtual/2023/poster/73073,
0BfQT652sC,"Stochastic Multi-armed Bandits: Optimal Trade-off among Optimality, Consistency, and Tail Risk",main,Spotlight,multi-armed bandit;worst-case optimality;instance-dependent consistency;light-tailed risk,"David Simchi-Levi, Zeyu Zheng, Feng Zhu",7;7;7;7,4;2;4;4,3;3;3;3,3;3;3;3,,2;3;3;3,7.0,3.5,3.0,3.0,0,2.75,0.0,0.0,https://nips.cc/virtual/2023/poster/73072,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6ffa1f5ad26addef897dcb938e525db7-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/6ffa1f5ad26addef897dcb938e525db7-Paper-Conference.pdf,https://openreview.net/forum?id=0BfQT652sC,/media/PosterPDFs/NeurIPS%202023/73072.png?t=1697228593.9260921,https://nips.cc/virtual/2023/poster/73072,https://nips.cc/virtual/2023/poster/73072,
0BwB03qA5T,Gaussian Process Probes (GPP) for Uncertainty-Aware Probing,main,Poster,Interpretability;probing;Bayesian;Gaussian process;transparency,"Zi Wang, Alexander Ku, Jason Baldridge, Tom Griffiths, Been Kim",5;6;6;6;7,2;2;3;3;3,3;3;2;3;3,2;3;2;3;3,,2;3;2;2;4,6.0,2.6,2.8,2.6,0,2.6,0.6454972243679028,0.0,https://nips.cc/virtual/2023/poster/73071,https://proceedings.neurips.cc/paper_files/paper/2023/hash/c8b100b376a7b338c84801b699935098-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/c8b100b376a7b338c84801b699935098-Paper-Conference.pdf,https://openreview.net/forum?id=0BwB03qA5T,,https://nips.cc/virtual/2023/poster/73071,https://nips.cc/virtual/2023/poster/73071,
0CbmvZPBGB,Partial Label Learning with Dissimilarity Propagation guided Candidate Label Shrinkage,main,Poster,partial label learning;dissimilarity propagation;candidate label shrinkage,"Yuheng Jia, Fuchao Yang, Yongqiang Dong",5;5;6;6;7,4;4;4;4;3,3;3;2;3;3,3;2;2;3;3,,2;3;2;3;3,5.8,3.8,2.8,2.6,0,2.6,-0.8017837257372731,-0.13363062095621217,https://nips.cc/virtual/2023/poster/73070,https://proceedings.neurips.cc/paper_files/paper/2023/hash/6b97236d90d945be7c58268207a14f4f-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/6b97236d90d945be7c58268207a14f4f-Paper-Conference.pdf,https://openreview.net/forum?id=0CbmvZPBGB,/media/PosterPDFs/NeurIPS%202023/73070.png?t=1701934129.5486205,https://nips.cc/virtual/2023/poster/73070,https://nips.cc/virtual/2023/poster/73070,
0DpKUzl1Se,Adaptive Uncertainty Estimation via High-Dimensional Testing on Latent Representations,main,Poster,Bayesian deep learning;high-dimensional testing;uncertainty estimation;out-of-distribution detection,"Tsai Hor Chan, Kin Wai Lau, Jiajun Shen, Guosheng Yin, Lequan Yu",6;6;6;6,4;4;4;3,4;3;3;3,3;3;3;2,,3;2;3;3,6.0,3.75,3.25,2.75,0,2.75,0.0,0.0,https://nips.cc/virtual/2023/poster/73069,https://proceedings.neurips.cc/paper_files/paper/2023/hash/7da558c6bd476ba77f5ba712626bba1a-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/7da558c6bd476ba77f5ba712626bba1a-Paper-Conference.pdf,https://openreview.net/forum?id=0DpKUzl1Se,/media/PosterPDFs/NeurIPS%202023/73069.png?t=1702013976.0093153,https://nips.cc/virtual/2023/poster/73069,https://nips.cc/virtual/2023/poster/73069,
0EG6qUQ4xE,AR-Diffusion: Auto-Regressive Diffusion Model for Text Generation,main,Poster,text generation;diffusion model;auto-regression;sequential dependency,"Tong Wu, Zhihao Fan, Xiao Liu, Hai-Tao Zheng, Yeyun Gong, yelong shen, Jian Jiao, Juntao Li, zhongyu wei, Jian Guo, Nan Duan, Weizhu Chen",4;5;5;7,4;4;3;3,2;4;3;4,2;3;2;4,,2;2;3;4,5.25,3.5,3.25,2.75,0,2.75,-0.6882472016116854,0.7608859102526822,https://nips.cc/virtual/2023/poster/73068,https://proceedings.neurips.cc/paper_files/paper/2023/hash/7d866abba506e5a56335e4644ebe18f9-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2023/file/7d866abba506e5a56335e4644ebe18f9-Paper-Conference.pdf,https://openreview.net/forum?id=0EG6qUQ4xE,/media/PosterPDFs/NeurIPS%202023/73068.png?t=1697696990.3066034,https://nips.cc/virtual/2023/poster/73068,https://nips.cc/virtual/2023/poster/73068,
